algorithm,input_bytes,pattern,iterations,total_ns,ns_per_op,throughput_mbs
gxhash,4096,repeating,4008960,200008917,49.890474586925286,82099.84037861672
gxhash,16384,random,1082368,200005042,184.78469614770577,88665.35130649357
gxhash,16384,low_entropy,1098752,200119542,182.13349509261417,89955.9962414865
gxhash,16384,repeating,1099776,200011625,181.8657844870228,90088.41353096352
gxhash,65536,random,279552,200556167,717.4198968349359,91349.57127496359
gxhash,65536,low_entropy,259072,200293375,773.118573215168,84768.36835966242
gxhash,65536,repeating,276480,200559917,725.4047923900463,90344.0405791552
foldhash,8,random,152979456,200000167,1.3073661799398737,6119.173130490435
foldhash,8,low_entropy,152677376,200000209,1.3099531459068303,6107.0886580923525
foldhash,8,repeating,153317376,200000708,1.30448820099817,6132.67333033641
foldhash,16,random,149988352,200001042,1.3334438263579294,11999.005645180589
foldhash,16,low_entropy,153624576,200000959,1.3018812758187857,12289.907149895216
foldhash,16,repeating,155008000,200000584,1.29025975433526,12400.603790236932
foldhash,32,random,77195264,200002375,2.5908632814572665,12351.095570740097
foldhash,32,low_entropy,77935616,200000709,2.566229912136705,12469.65435507531
foldhash,32,repeating,78331904,200001375,2.5532556313197747,12533.018475497982
foldhash,64,random,56101888,200000958,3.5649594894203918,17952.51816743798
foldhash,64,low_entropy,57000960,200000292,3.508717958434384,18240.28056919037
foldhash,64,repeating,57499648,200002958,3.478333606494426,18399.615229690753
foldhash,256,random,25437184,200007459,7.862798767347832,32558.381255171087
foldhash,256,low_entropy,25657344,200005917,7.79526972862039,32840.42873591585
foldhash,256,repeating,25362432,200003625,7.8858220300009085,32463.32456224231
foldhash,1024,random,6958080,200007167,28.74459146776122,35624.09301062696
foldhash,1024,low_entropy,6898688,200012000,28.99275920290931,35319.16341019539
foldhash,1024,repeating,6967296,200006875,28.70652761128564,35671.32931805469
foldhash,4096,random,1678336,200097834,119.22394204736119,34355.515592437645
foldhash,4096,low_entropy,1654784,200039667,120.88566664894029,33883.2560844045
foldhash,4096,repeating,1650688,200053667,121.19411239434709,33797.0213162851
foldhash,16384,random,401408,200032459,498.327036332111,32878.00742378516
foldhash,16384,low_entropy,402432,200142958,497.3336066714377,32943.681625810685
foldhash,16384,repeating,403456,200246042,496.32684109295684,33010.50566582484
foldhash,65536,random,96256,200264292,2080.53827293883,31499.540696950604
foldhash,65536,low_entropy,97280,201483125,2071.1669921875,31642.06471385631
foldhash,65536,repeating,97280,200434292,2060.3854029605263,31807.64137905105
